# Erzeugt von tools/license-audit.py — NICHT von Hand bearbeiten.
# Spalten: Name\tVersion\tLizenz\tHerkunft
node-releases	2.0.54	MIT	npm
obug	2.1.4	MIT	npm
parse5	8.0.1	MIT	npm
pathe	2.0.3	MIT	npm
picocolors	1.1.1	ISC	npm
picomatch	4.0.7	MIT	npm
playwright	1.62.1	Apache-2.0	npm
playwright-core	1.62.1	Apache-2.0	npm
postcss	8.5.26	MIT	npm
punycode	2.3.1	MIT	npm
react	19.2.8	MIT	npm
react-dom	19.2.8	MIT	npm
react-refresh	0.17.0	MIT	npm
require-from-string	2.0.2	MIT	npm
rollup	4.63.1	MIT	npm
saxes	6.0.0	ISC	npm
scheduler	0.27.0	MIT	npm
semver	6.3.1	ISC	npm
siginfo	2.0.0	ISC	npm
sirv	3.0.2	MIT	npm
source-map-js	1.2.1	BSD-3-Clause	npm
stackback	0.0.2	MIT	npm
std-env	4.2.0	MIT	npm
symbol-tree	3.2.4	MIT	npm
tailwindcss	4.3.3	MIT	npm
tapable	2.3.3	MIT	npm
tinybench	2.9.0	MIT	npm
tinyexec	1.3.0	MIT	npm
tinyglobby	0.2.17	MIT	npm
tinyrainbow	3.1.1	MIT	npm
tldts	7.4.11	MIT	npm
tldts-core	7.4.11	MIT	npm
totalist	3.0.1	MIT	npm
tough-cookie	6.0.2	BSD-3-Clause	npm
tr46	6.0.0	MIT	npm
typescript	5.9.3	Apache-2.0	npm
uisfx	0.4.0	MIT	npm
undici	8.10.0	MIT	npm
undici-types	6.21.0	MIT	npm
update-browserslist-db	1.3.2	MIT	npm
vite	6.4.3	MIT	npm
vitest	4.1.11	MIT	npm
w3c-xmlserializer	5.0.0	MIT	npm
webidl-conversions	8.0.1	BSD-2-Clause	npm
whatwg-mimetype	5.0.0	MIT	npm
whatwg-url	16.0.1	MIT	npm
whatwg-url	17.1.0	MIT	npm
why-is-node-running	2.3.0	MIT	npm
xml-name-validator	5.0.0	Apache-2.0	npm
xmlchars	2.2.0	MIT	npm
yallist	3.1.1	ISC	npm
zustand	5.0.15	MIT	npm
